step,true_state,measurement,kf_estimate,P,K
0,0.0,0.0,0.0,0.46875,0.625
1,0.152359,-0.748294,-0.366186,0.367021,0.489362
2,0.527584,1.342137,0.404886,0.338521,0.451362
3,-0.447933,-1.575654,-0.465918,0.32976,0.43968
4,-0.384013,-0.657887,-0.549615,0.326991,0.435989
5,-0.392414,-1.131172,-0.802482,0.326109,0.434812
6,0.047285,0.720873,-0.140683,0.325827,0.434436
7,0.080301,1.05652,0.379281,0.325736,0.434315
8,0.314055,-0.430114,0.027779,0.325708,0.434277
9,0.498431,-0.331986,-0.128454,0.325698,0.434264
10,0.937656,0.894419,0.315739,0.325695,0.43426
11,0.845225,0.255522,0.289589,0.325694,0.434259
12,1.456495,1.322669,0.738213,0.325694,0.434259
13,1.242331,0.937375,0.824701,0.325694,0.434259
14,1.508486,1.82497,1.259076,0.325694,0.434259
15,1.714852,2.087954,1.619023,0.325694,0.434259
16,2.785676,2.43371,1.972808,0.325694,0.434259
17,2.529555,1.824807,1.908537,0.325694,0.434259
18,2.837544,3.815263,2.736549,0.325694,0.434259
19,2.780571,2.052974,2.439701,0.325694,0.434259
20,2.36833,2.93176,2.653382,0.325694,0.434259
21,2.739957,3.210342,2.895247,0.325694,0.434259
22,2.407202,2.60826,2.77062,0.325694,0.434259
23,2.465545,2.654935,2.720383,0.325694,0.434259
24,2.90126,3.094899,2.88302,0.325694,0.434259
25,3.240716,3.299241,3.063768,0.325694,0.434259
26,3.385276,3.931988,3.4408,0.325694,0.434259
27,2.656698,2.379855,2.980075,0.325694,0.434259
28,2.421512,1.868227,2.497246,0.325694,0.434259
29,2.283941,3.578598,2.966832,0.325694,0.434259
30,1.851025,2.689579,2.846432,0.325694,0.434259
31,1.00959,0.719571,1.922825,0.325694,0.434259
32,1.090967,1.59865,1.782049,0.325694,0.434259
33,1.44658,2.133639,1.93473,0.325694,0.434259
34,1.272217,0.871809,1.473148,0.325694,0.434259
35,1.701205,1.535531,1.500238,0.325694,0.434259
36,1.063362,0.081907,0.884316,0.325694,0.434259
37,0.603636,1.03419,0.9494,0.325694,0.434259
38,0.674849,1.272827,1.089851,0.325694,0.434259
39,0.461223,0.598522,0.876487,0.325694,0.434259
40,0.774018,0.506116,0.71565,0.325694,0.434259
41,1.002405,0.429161,0.59124,0.325694,0.434259
42,0.820879,0.490284,0.547399,0.325694,0.434259
43,0.222959,0.644689,0.589648,0.325694,0.434259
44,-0.011742,-0.000922,0.333188,0.325694,0.434259
45,0.228631,0.615338,0.455714,0.325694,0.434259
46,0.561323,0.476033,0.464538,0.325694,0.434259
47,0.349674,0.280636,0.384677,0.325694,0.434259
48,-0.493993,-1.747229,-0.541122,0.325694,0.434259
49,-1.155343,-2.018984,-1.182896,0.325694,0.434259
50,-0.955456,-1.739623,-1.42466,0.325694,0.434259
51,-1.144537,-0.019372,-0.814402,0.325694,0.434259
52,-1.322669,-0.683962,-0.757757,0.325694,0.434259
53,-1.789478,-1.967392,-1.283051,0.325694,0.434259
54,-2.264489,-2.5581,-1.836752,0.325694,0.434259
55,-1.844335,-3.340238,-2.489654,0.325694,0.434259
56,-1.627123,-1.421238,-2.025685,0.325694,0.434259
57,-1.924198,-3.176521,-2.525445,0.325694,0.434259
58,-1.888133,-2.346687,-2.447818,0.325694,0.434259
59,-1.771795,-1.75287,-2.146031,0.325694,0.434259
60,-0.970906,-1.178194,-1.725739,0.325694,0.434259
61,-1.482654,-1.327397,-1.552756,0.325694,0.434259
62,-1.372656,-0.195565,-0.963384,0.325694,0.434259
63,-0.9551,-0.646041,-0.825575,0.325694,0.434259
64,-0.223449,-1.252948,-1.011165,0.325694,0.434259
65,-0.543325,-1.345763,-1.156467,0.325694,0.434259
66,-0.73823,-1.930475,-1.492587,0.325694,0.434259
67,-0.420654,-0.613105,-1.110664,0.325694,0.434259
68,-1.156057,-2.035574,-1.512314,0.325694,0.434259
69,-0.9993,-0.273461,-0.974332,0.325694,0.434259
70,-0.000935,2.522544,0.544216,0.325694,0.434259
71,0.20627,-0.650695,0.025316,0.325694,0.434259
72,-0.859753,-0.627908,-0.258352,0.325694,0.434259
